Rank,Name,Count
1,OLIVIA,"3,866"
2,AMELIA,"3,546"
3,ISLA,"2,830"
4,AVA,"2,805"
5,MIA,"2,368"
6,ISABELLA,"2,297"
7,GRACE,"2,242"
8,SOPHIA,"2,236"
9,LILY,"2,181"
10,EMILY,"2,150"
11,FREYA,"2,129"
12,IVY,"2,074"
13,ELLA,"1,974"
14,CHARLOTTE,"1,946"
15,POPPY,"1,934"
16,FLORENCE,"1,933"
17,EVIE,"1,921"
18,ROSIE,"1,912"
19,WILLOW,"1,860"
20,PHOEBE,"1,674"
21,SOPHIE,"1,672"
22,EVELYN,"1,668"
23,SIENNA,"1,660"
24,ELSIE,"1,641"
25,SOFIA,"1,636"
26,ALICE,"1,630"
27,RUBY,"1,554"
28,MATILDA,"1,513"
29,ISABELLE,"1,506"
30,HARPER,"1,488"
31,DAISY,"1,484"
32,EMILIA,"1,420"
33,JESSICA,"1,396"
34,MAYA,"1,337"
35,EVA,"1,217"
36,LUNA,"1,164"
37,ELIZA,"1,147"
38,MILLIE,"1,144"
39,CHLOE,"1,139"
40,PENELOPE,"1,104"
41,MAISIE,"1,103"
42,ESME,"1,083"
43,ARIA,"1,068"
44,SCARLETT,"1,040"
45,IMOGEN,"1,004"
46,THEA,993
47,HARRIET,989
48,ADA,985
49,LAYLA,965
50,MILA,937
51,ELEANOR,933
52,VIOLET,928
53,ELIZABETH,909
54,BELLA,906
55,ROSE,890
56,EMMA,880
57,ERIN,869
58,MOLLY,860
59,LOLA,854
60,LUCY,849
61,HALLIE,836
62,BONNIE,823
63,ELLIE,787
64,ZARA,781
65,MARIA,774
65,ROBYN,774
67,HANNAH,764
68,NANCY,759
69,ARABELLA,748
70,HOLLY,739
71,AURORA,737
72,JASMINE,730
73,LOTTIE,729
74,ORLA,672
75,DELILAH,671
76,GRACIE,666
77,GEORGIA,665
78,DARCIE,649
79,IRIS,639
80,AMBER,637
81,AMELIE,633
82,ANNA,618
83,MARYAM,617
84,ABIGAIL,602
85,LILLY,601
86,ANNABELLE,596
87,AYLA,591
88,SARA,583
89,BEATRICE,578
90,EDITH,577
91,CLARA,571
92,HEIDI,566
93,MARGOT,558
94,SUMMER,554
95,ZOE,540
96,MARTHA,521
97,LARA,518
98,MABEL,512
99,LYLA,502
100,FELICITY,492
